,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Family,Family_label,Deck,Ticket_Class,Surname,FamilyGroup
0,1,0.0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,Unknown,S,Mr,2,2,U,1,Braund,2
1,2,1.0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,Mrs,2,2,C,2,Cumings,2
2,3,1.0,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,Unknown,S,Miss,1,1,U,1,Heikkinen,1
3,4,1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Mrs,2,2,C,2,Futrelle,2
4,5,0.0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,Unknown,S,Mr,1,1,U,1,Allen,2
5,6,0.0,3,"Moran, Mr. James",male,28.226255994772455,0,0,330877,8.4583,Unknown,Q,Mr,1,1,U,1,Moran,3
6,7,0.0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,Mr,1,1,E,2,McCarthy,2
7,8,0.0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,Unknown,S,Master,5,1,U,1,Palsson,5
8,9,1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,Unknown,S,Mrs,3,2,U,2,Johnson,6
9,10,1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,Unknown,C,Mrs,2,2,U,2,Nasser,2
10,11,1.0,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Miss,3,2,G,2,Sandstrom,3
11,12,1.0,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Miss,1,1,C,1,Bonnell,2
12,13,0.0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,Unknown,S,Mr,1,1,U,1,Saundercock,1
13,14,0.0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,Unknown,S,Mr,7,1,U,1,Andersson,11
14,15,0.0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,Unknown,S,Miss,1,1,U,1,Vestrom,1
15,16,1.0,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,Unknown,S,Mrs,1,1,U,1,Hewlett,1
16,17,0.0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Unknown,Q,Master,6,1,U,1,Rice,6
17,18,1.0,2,"Williams, Mr. Charles Eugene",male,32.535640595957396,0,0,244373,13.0,Unknown,S,Mr,1,1,U,1,Williams,5
18,19,0.0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,Unknown,S,Mrs,2,2,U,2,Vander Planke,4
19,20,1.0,3,"Masselmani, Mrs. Fatima",female,32.49434306285119,0,0,2649,7.225,Unknown,C,Mrs,1,1,U,1,Masselmani,1
20,21,0.0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,Unknown,S,Mr,1,1,U,2,Fynney,1
21,22,1.0,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,Mr,1,1,D,1,Beesley,1
22,23,1.0,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Unknown,Q,Miss,1,1,U,1,McGowan,2
23,24,1.0,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,Mr,1,1,A,1,Sloper,1
24,25,0.0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,Unknown,S,Miss,5,1,U,1,Palsson,5
25,26,1.0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,Unknown,S,Mrs,7,1,U,1,Asplund,8
26,27,0.0,3,"Emir, Mr. Farred Chehab",male,28.226255994772455,0,0,2631,7.225,Unknown,C,Mr,1,1,U,1,Emir,1
27,28,0.0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,Mr,6,1,C,1,Fortune,6
28,29,1.0,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,17.333729506491817,0,0,330959,7.8792,Unknown,Q,Miss,1,1,U,1,O'Dwyer,1
29,30,0.0,3,"Todoroff, Mr. Lalio",male,28.226255994772455,0,0,349216,7.8958,Unknown,S,Mr,1,1,U,1,Todoroff,1
30,31,0.0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,Unknown,C,Royalty,1,1,U,1,Uruchurtu,1
31,32,1.0,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,43.11469647488398,1,0,PC 17569,146.5208,B78,C,Mrs,2,2,B,2,Spencer,2
32,33,1.0,3,"Glynn, Miss. Mary Agatha",female,17.333729506491817,0,0,335677,7.75,Unknown,Q,Miss,1,1,U,1,Glynn,1
33,34,0.0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,Unknown,S,Mr,1,1,U,1,Wheadon,1
34,35,0.0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,Unknown,C,Mr,2,2,U,2,Meyer,3
35,36,0.0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,Unknown,S,Mr,2,2,U,2,Holverson,2
36,37,1.0,3,"Mamee, Mr. Hanna",male,28.226255994772455,0,0,2677,7.2292,Unknown,C,Mr,1,1,U,1,Mamee,1
37,38,0.0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,Unknown,S,Mr,1,1,U,1,Cann,1
38,39,0.0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,Unknown,S,Miss,3,2,U,2,Vander Planke,4
39,40,1.0,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,Unknown,C,Miss,2,2,U,2,Nicola-Yarred,2
40,41,0.0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,Unknown,S,Mrs,2,2,U,1,Ahlin,1
41,42,0.0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,Unknown,S,Mrs,2,2,U,2,Turpin,2
42,43,0.0,3,"Kraeff, Mr. Theodor",male,28.226255994772455,0,0,349253,7.8958,Unknown,C,Mr,1,1,U,1,Kraeff,1
43,44,1.0,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,Unknown,C,Miss,4,2,U,2,Laroche,4
44,45,1.0,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Unknown,Q,Miss,1,1,U,1,Devaney,1
45,46,0.0,3,"Rogers, Mr. William John",male,28.226255994772455,0,0,S.C./A.4. 23567,8.05,Unknown,S,Mr,1,1,U,1,Rogers,2
46,47,0.0,3,"Lennon, Mr. Denis",male,28.226255994772455,1,0,370371,15.5,Unknown,Q,Mr,2,2,U,2,Lennon,2
47,48,1.0,3,"O'Driscoll, Miss. Bridget",female,17.333729506491817,0,0,14311,7.75,Unknown,Q,Miss,1,1,U,1,O'Driscoll,1
48,49,0.0,3,"Samaan, Mr. Youssef",male,28.226255994772455,2,0,2662,21.6792,Unknown,C,Mr,3,2,U,2,Samaan,3
49,50,0.0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,Unknown,S,Mrs,2,2,U,2,Arnold-Franchi,2
50,51,0.0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,Unknown,S,Master,6,1,U,1,Panula,6
51,52,0.0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,Unknown,S,Mr,1,1,U,1,Nosworthy,1
52,53,1.0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,Mrs,2,2,D,2,Harper,4
53,54,1.0,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,Unknown,S,Mrs,2,2,U,2,Faunthorpe,2
54,55,0.0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,Mr,2,2,B,2,Ostby,2
55,56,1.0,1,"Woolner, Mr. Hugh",male,41.51911940270861,0,0,19947,35.5,C52,S,Mr,1,1,C,1,Woolner,1
56,57,1.0,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,Unknown,S,Miss,1,1,U,1,Rugg,1
57,58,0.0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,Unknown,C,Mr,1,1,U,1,Novel,1
58,59,1.0,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,Unknown,S,Miss,4,2,U,2,West,4
59,60,0.0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,Unknown,S,Master,8,0,U,1,Goodwin,8
60,61,0.0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,Unknown,C,Mr,1,1,U,1,Sirayanian,1
61,62,1.0,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,C,Miss,1,1,B,2,Icard,1
62,63,0.0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,Mr,2,2,C,2,Harris,4
63,64,0.0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,Unknown,S,Master,6,1,U,1,Skoog,6
64,65,0.0,1,"Stewart, Mr. Albert A",male,41.51911940270861,0,0,PC 17605,27.7208,Unknown,C,Mr,1,1,U,1,Stewart,1
65,66,1.0,3,"Moubarek, Master. Gerios",male,6.035598611570747,1,1,2661,15.2458,Unknown,C,Master,3,2,U,2,Moubarek,3
66,67,1.0,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,Mrs,1,1,F,1,Nye,1
67,68,0.0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,Unknown,S,Mr,1,1,U,1,Crease,1
68,69,1.0,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,Unknown,S,Miss,7,1,U,1,Andersson,11
69,70,0.0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,Unknown,S,Mr,3,2,U,1,Kink,2
70,71,0.0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,Unknown,S,Mr,1,1,U,1,Jenkin,1
71,72,0.0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,Unknown,S,Miss,8,0,U,1,Goodwin,8
72,73,0.0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,Unknown,S,Mr,1,1,U,1,Hood,1
73,74,0.0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,Unknown,C,Mr,2,2,U,2,Chronopoulos,2
74,75,1.0,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,Unknown,S,Mr,1,1,U,1,Bing,1
75,76,0.0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,Mr,1,1,F,1,Moen,1
76,77,0.0,3,"Staneff, Mr. Ivan",male,28.226255994772455,0,0,349208,7.8958,Unknown,S,Mr,1,1,U,1,Staneff,1
77,78,0.0,3,"Moutal, Mr. Rahamin Haim",male,28.226255994772455,0,0,374746,8.05,Unknown,S,Mr,1,1,U,1,Moutal,1
78,79,1.0,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,Unknown,S,Master,3,2,U,2,Caldwell,3
79,80,1.0,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,Unknown,S,Miss,1,1,U,2,Dowdell,1
80,81,0.0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,Unknown,S,Mr,1,1,U,1,Waelens,1
81,82,1.0,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,Unknown,S,Mr,1,1,U,1,Sheerlinck,1
82,83,1.0,3,"McDermott, Miss. Brigdet Delia",female,17.333729506491817,0,0,330932,7.7875,Unknown,Q,Miss,1,1,U,1,McDermott,1
83,84,0.0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,Unknown,S,Mr,1,1,U,2,Carrau,2
84,85,1.0,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,Unknown,S,Miss,1,1,U,1,Ilett,1
85,86,1.0,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,Unknown,S,Mrs,4,2,U,2,Backstrom,2
86,87,0.0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,Unknown,S,Mr,5,1,U,1,Ford,6
87,88,0.0,3,"Slocovski, Mr. Selman Francis",male,28.226255994772455,0,0,SOTON/OQ 392086,8.05,Unknown,S,Mr,1,1,U,1,Slocovski,1
88,89,1.0,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,1,C,1,Fortune,6
89,90,0.0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,Unknown,S,Mr,1,1,U,1,Celotti,1
90,91,0.0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,Unknown,S,Mr,1,1,U,1,Christmann,1
